Date,Make,Model,Color,Year,Price,Mileage,EngineSize,FuelEfficiency,SalesPerson
2022-01-24,Nissan,SUV,Blue,2020,49375.26,31004.0,4.0,33.5,Bob
2022-01-25,Hyundai,Sedan,White,2021,38682.53,25155.0,3.0,22.7,Alice
2022-01-26,Ford,Sedan,White,2020,72307.87,34342.0,2.5,37.6,Alice
2022-01-27,Chevrolet,Coupe,White,2020,29352.84,45985.0,3.5,30.2,Eva
2022-01-28,Toyota,Truck,Silver,2021,32386.71,19199.0,2.0,21.6,David
2022-01-29,BMW,Hatchback,Red,2017,61242.34,22488.0,2.5,32.3,Bob
2022-01-30,Chevrolet,SUV,Silver,2021,41146.16,27154.0,1.6,20.2,David
2022-01-31,Toyota,Sedan,Silver,2021,62781.01,44926.0,3.0,35.5,Alice
2022-02-01,Honda,Coupe,Gray,2019,29462.22,65281.0,3.5,33.0,Alice
2022-02-02,Ford,Truck,Black,2022,35136.15,85615.0,4.0,24.3,Eva
2022-02-03,Hyundai,Truck,Red,2022,29398.84,28713.0,2.0,27.5,Charlie
2022-02-04,Audi,SUV,White,2021,77174.62,18373.0,1.6,20.2,Alice
2022-02-05,Mercedes,Sedan,Blue,2018,44324.24,37885.0,2.5,33.9,Bob
2022-02-06,Chevrolet,SUV,White,2022,40233.19,89438.0,3.0,26.5,Eva
2022-02-07,Toyota,SUV,Silver,2022,20852.13,986.0,2.5,31.4,Charlie
2022-02-08,Audi,Van,Red,2022,29205.05,67787.0,4.0,39.1,Eva
2022-02-09,Chevrolet,Coupe,Green,2021,45268.15,47716.0,2.5,26.0,Alice
2022-02-10,Ford,Truck,Red,2020,24110.17,16105.0,2.0,39.8,Charlie
2022-02-11,Hyundai,Van,Red,2016,50644.36,32102.0,1.6,32.7,David
2022-02-12,Kia,Hatchback,Black,2020,47300.93,22495.0,3.5,24.8,Charlie
2022-02-13,Chevrolet,Truck,White,2019,66030.09,87783.0,2.0,28.7,Bob
2022-02-14,Chevrolet,Truck,Black,2018,59588.16,48187.0,4.0,34.8,David
2022-02-15,Hyundai,Coupe,Green,2021,46756.84,56309.0,3.0,28.9,David
2022-02-16,Honda,Hatchback,Green,2017,33479.64,59369.0,4.0,21.4,Bob
2022-02-17,Nissan,Sedan,Gray,2015,63611.81,63962.0,4.0,23.4,David
2022-02-18,Chevrolet,Hatchback,Blue,2021,62471.73,49556.0,2.5,35.8,Alice
2022-02-19,Hyundai,Sedan,Gray,2016,29197.77,1787.0,3.0,33.0,Charlie
2022-02-20,Nissan,Hatchback,Silver,2015,74885.11,33472.0,2.0,31.4,Charlie
2022-02-21,Hyundai,SUV,Black,2017,23864.31,18387.0,4.0,23.4,Bob
2022-02-22,Hyundai,Hatchback,Black,2019,23302.26,68014.0,2.0,36.8,Alice
2022-02-23,Honda,Van,Gray,2019,31241.03,5670.0,3.5,39.2,David
2022-02-24,Hyundai,Van,Silver,2017,74567.65,56380.0,2.5,20.8,Charlie
2022-02-25,Ford,Coupe,Red,2020,51199.89,21063.0,2.0,21.6,Charlie
2022-02-26,Chevrolet,Sedan,Silver,2017,67276.46,94885.0,3.0,37.7,Charlie
2022-02-27,Toyota,Truck,White,2022,33670.59,33554.0,4.0,36.3,Charlie
2022-02-28,Toyota,Coupe,Gray,2022,49413.32,32522.0,3.5,32.4,Eva
2022-03-01,Toyota,Van,Silver,2021,41497.37,92338.0,3.0,38.9,Bob
2022-03-02,Hyundai,Van,Red,2016,69669.72,41735.0,2.5,32.9,David
2022-03-03,Audi,Sedan,Silver,2022,21356.27,96286.0,3.5,24.3,David
2022-03-04,Nissan,Van,Black,2018,34630.56,2417.0,3.5,34.6,Bob
2022-03-05,Nissan,Van,Blue,2021,29154.45,30634.0,3.5,32.9,Alice
2022-03-06,Hyundai,Sedan,Black,2021,71551.34,66619.0,4.0,39.7,Bob
2022-03-07,Ford,Van,Green,2021,48052.63,89086.0,1.6,24.3,Charlie
2022-03-08,Ford,Truck,Blue,2015,44253.2,25641.0,3.5,32.0,Charlie
2022-03-09,Mercedes,SUV,Green,2015,46968.97,93048.0,3.0,35.6,Bob
2022-03-10,Hyundai,Coupe,Silver,2019,78315.47,59412.0,3.0,26.8,Bob
2022-03-11,BMW,Truck,White,2021,71016.04,80101.0,2.5,27.6,David
2022-03-12,Honda,Truck,Silver,2020,62382.13,39721.0,2.0,37.8,David
2022-03-13,Toyota,SUV,Red,2022,37428.74,21218.0,2.0,28.1,Eva
2022-03-14,Honda,Coupe,Silver,2019,29910.38,91124.0,1.6,32.5,Eva
2022-03-15,Toyota,Truck,Blue,2016,75286.02,93314.0,4.0,37.8,Charlie
2022-03-16,Kia,Van,Black,2017,45384.53,49758.0,4.0,24.2,Eva
2022-03-17,Kia,SUV,White,2015,36725.35,650.0,3.5,39.6,Eva
2022-03-18,Hyundai,Coupe,Green,2021,48255.25,10978.0,1.6,34.0,Alice
2022-03-19,Kia,Hatchback,Silver,2016,75070.85,57303.0,2.5,29.9,Bob
2022-03-20,Audi,Sedan,Silver,2019,43224.04,2378.0,2.5,28.6,David
2022-03-21,Mercedes,Van,Black,2019,53758.46,39691.0,2.0,39.1,Eva
2022-03-22,Ford,SUV,White,2015,68177.98,30337.0,2.5,24.1,David
2022-03-23,Audi,Sedan,Gray,2019,45627.95,71435.0,3.5,26.2,Eva
2022-03-24,Honda,Hatchback,Green,2020,34012.51,5558.0,3.0,26.2,Eva
2022-03-25,Honda,Truck,Silver,2019,79671.54,48873.0,2.5,25.8,Charlie
2022-03-26,Kia,Truck,Silver,2018,77394.25,57911.0,1.6,29.4,Alice
2022-03-27,Ford,Coupe,Gray,2022,70608.75,61729.0,3.5,39.8,Bob
2022-03-28,Mercedes,SUV,Green,2017,61302.43,40516.0,2.5,37.8,Bob
2022-03-29,Toyota,SUV,Blue,2019,37691.94,30437.0,4.0,26.6,Charlie
2022-03-30,Audi,Coupe,Blue,2022,74804.78,68249.0,2.5,28.5,Charlie
2022-03-31,Mercedes,Sedan,Red,2022,36533.4,84757.0,4.0,33.4,Bob
2022-04-01,Chevrolet,Truck,Black,2018,68048.57,69362.0,3.5,20.3,Bob
2022-04-02,Nissan,Truck,White,2016,75095.49,93210.0,2.5,36.4,Alice
2022-04-03,Kia,SUV,Silver,2019,56180.23,71726.0,4.0,37.6,Eva
2022-04-04,Toyota,SUV,Green,2020,68183.37,76462.0,3.0,37.1,Alice
2022-04-05,Chevrolet,Coupe,Silver,2016,67501.71,16790.0,2.0,27.5,Bob
2022-04-06,Toyota,Hatchback,Red,2022,31589.47,41954.0,3.5,29.2,Eva
2022-04-07,Toyota,Sedan,Green,2022,60075.47,48506.0,4.0,20.2,Bob
2022-04-08,Kia,Van,Green,2021,25608.08,25629.0,1.6,28.0,Alice
2022-04-09,Toyota,Hatchback,Silver,2019,50471.01,52854.0,2.5,29.2,Alice
2022-04-10,Mercedes,Hatchback,Black,2015,29734.13,29079.0,4.0,38.1,Alice
2022-04-11,Mercedes,SUV,Red,2018,44980.97,68750.0,4.0,37.9,Eva
2022-04-12,Chevrolet,SUV,Black,2018,69978.92,47029.0,4.0,39.3,David
2022-04-13,Honda,SUV,Red,2015,79230.07,45881.0,2.0,37.7,David
2022-04-14,Ford,Hatchback,Silver,2017,39077.59,98364.0,1.6,20.2,Bob
2022-04-15,Audi,Sedan,Red,2022,51917.34,39244.0,1.6,32.8,Eva
2022-04-16,Audi,SUV,Blue,2021,50677.88,36230.0,3.0,21.4,Charlie
2022-04-17,BMW,Truck,Green,2020,77264.09,31860.0,2.0,25.5,David
2022-04-18,Kia,Sedan,White,2018,48715.02,89475.0,4.0,31.6,Eva
2022-04-19,Hyundai,Truck,Silver,2016,61946.37,49672.0,3.5,34.0,Eva
2022-04-20,Hyundai,Sedan,Gray,2022,75307.35,60001.0,2.0,33.1,David
2022-04-21,Chevrolet,SUV,White,2020,42402.71,18082.0,2.0,21.0,Eva
2022-04-22,Toyota,Van,Silver,2018,74127.33,54094.0,1.6,22.1,Eva
2022-04-23,Toyota,Coupe,White,2021,75047.37,27465.0,3.0,22.6,David
2022-04-24,Kia,SUV,Blue,2017,75839.75,73064.0,3.0,21.8,Alice
2022-04-25,Nissan,Hatchback,White,2021,36226.77,83253.0,2.0,23.6,Bob
2022-04-26,Honda,Van,Red,2016,44021.34,71481.0,2.0,33.8,Charlie
2022-04-27,BMW,Hatchback,White,2021,72223.75,73024.0,2.5,36.6,Bob
2022-04-28,Mercedes,Sedan,Silver,2020,41549.71,51247.0,4.0,28.2,Alice
2022-04-29,Toyota,Hatchback,Gray,2022,56015.18,71212.0,1.6,33.9,Alice
2022-04-30,BMW,Van,Gray,2016,27083.27,42269.0,4.0,24.0,Eva
2022-05-01,Audi,Van,Black,2022,23376.5,65149.0,3.5,39.5,Bob
2022-05-02,Nissan,SUV,Green,2015,44719.64,25904.0,3.5,27.0,Alice
2022-05-03,Mercedes,Truck,White,2019,54734.99,6976.0,3.0,36.9,Bob
2022-05-04,Kia,SUV,Gray,2015,43561.95,41347.0,1.6,38.9,Alice
2022-05-05,BMW,Sedan,White,2020,54664.15,46178.0,4.0,37.3,Charlie
2022-05-06,Chevrolet,Hatchback,Green,2019,50905.06,25641.0,3.0,21.3,Alice
2022-05-07,Mercedes,Truck,Gray,2015,61142.43,72771.0,3.5,33.0,Bob
2022-05-08,Kia,Coupe,Green,2019,58971.95,7355.0,2.0,22.4,Eva
2022-05-09,Hyundai,Van,White,2018,45454.74,22275.0,1.6,20.1,Bob
2022-05-10,Kia,Truck,Silver,2021,45499.71,74856.0,1.6,21.0,David
2022-05-11,Kia,Truck,White,2016,28446.7,43712.0,4.0,38.3,Bob
2022-05-12,Mercedes,SUV,Green,2019,50794.31,70528.0,2.5,38.2,Charlie
2022-05-13,Nissan,Coupe,Silver,2018,55230.75,56749.0,4.0,24.5,Charlie
2022-05-14,Mercedes,Van,Silver,2021,48589.36,95071.0,2.0,30.9,Charlie
2022-05-15,Ford,Sedan,Black,2021,39542.44,59780.0,2.0,39.1,Alice
2022-05-16,Honda,Sedan,Gray,2017,63298.91,1487.0,3.0,29.9,Charlie
2022-05-17,Nissan,Truck,Red,2022,24479.7,35288.0,1.6,27.9,Bob
2022-05-18,Chevrolet,Truck,Silver,2015,74866.42,14306.0,3.0,29.7,Eva
2022-05-19,Nissan,Hatchback,Green,2017,21238.61,92463.0,2.0,35.8,Charlie
2022-05-20,Audi,Coupe,Gray,2022,77741.01,10401.0,2.5,29.5,Bob
2022-05-21,Chevrolet,Van,Blue,2022,47741.34,38771.0,1.6,35.7,Alice
2022-05-22,Hyundai,Truck,White,2020,44760.2,22610.0,2.0,28.6,Alice
2022-05-23,Mercedes,Hatchback,Green,2018,35386.64,84672.0,2.5,25.0,Eva
2022-05-24,Kia,Coupe,Blue,2017,20604.27,30857.0,4.0,26.5,Eva
2022-05-25,Mercedes,Van,Green,2017,36487.42,99189.0,3.5,21.6,Bob
2022-05-26,Audi,Sedan,White,2022,26564.0,3862.0,2.0,29.9,Eva
2022-05-27,BMW,Hatchback,Black,2021,59589.25,12828.0,3.5,23.0,Eva
2022-05-28,Audi,Coupe,Green,2018,39144.5,22464.0,3.0,36.2,Alice
2022-05-29,Ford,Hatchback,Silver,2021,66030.76,81111.0,3.5,28.4,Bob
2022-05-30,Kia,Truck,Red,2016,32414.97,87852.0,2.0,35.3,Eva
2022-05-31,Kia,SUV,Silver,2019,74014.09,7145.0,3.5,39.1,Bob
2022-06-01,Toyota,Sedan,White,2020,51378.89,3246.0,1.6,37.0,Charlie
2022-06-02,BMW,Truck,Green,2020,26870.37,74456.0,2.0,39.0,Alice
2022-06-03,Toyota,Truck,Red,2015,44050.71,13335.0,2.5,31.4,Alice
2022-06-04,Hyundai,Coupe,Silver,2021,32405.63,13300.0,3.5,23.3,Alice
2022-06-05,Honda,Hatchback,Red,2019,31981.13,2237.0,1.6,38.7,David
2022-06-06,Honda,Sedan,White,2022,50382.18,4981.0,3.0,37.4,Bob
2022-06-07,Mercedes,Truck,Black,2015,60313.52,26368.0,3.0,37.3,Charlie
2022-06-08,Honda,Coupe,Black,2020,74697.09,6501.0,3.5,33.9,Eva
2022-06-09,Kia,Sedan,Green,2019,50129.72,36888.0,3.0,32.5,Charlie
2022-06-10,Audi,Hatchback,Silver,2017,77950.33,83278.0,2.5,20.3,Bob
2022-06-11,BMW,Truck,Blue,2016,76498.09,32632.0,2.0,35.0,Alice
2022-06-12,Mercedes,Van,White,2022,71903.75,72783.0,1.6,21.8,David
2022-06-13,Mercedes,Truck,Silver,2017,49998.64,9391.0,4.0,25.2,Bob
2022-06-14,BMW,Truck,Silver,2016,28454.24,65938.0,3.5,31.0,Bob
2022-06-15,Kia,Sedan,Black,2022,33074.27,31675.0,3.0,29.0,Eva
2022-06-16,Hyundai,Sedan,Green,2021,58860.2,74975.0,2.0,20.3,Charlie
2022-06-17,Hyundai,Sedan,Red,2018,45305.3,13625.0,4.0,36.5,Charlie
2022-06-18,Mercedes,Sedan,White,2015,28808.1,89788.0,2.5,37.6,Eva
2022-06-19,Hyundai,Coupe,Red,2015,48739.64,24258.0,3.0,33.6,David
2022-06-20,Kia,SUV,Gray,2018,21045.83,35314.0,3.0,30.8,Alice
2022-06-21,Ford,Coupe,Gray,2019,64033.72,95018.0,1.6,39.2,Alice
2022-06-22,Ford,Truck,White,2018,24414.88,57848.0,2.5,22.4,David
2022-06-23,Toyota,Coupe,Green,2021,57746.82,36577.0,2.5,34.8,Eva
2022-06-24,Nissan,Hatchback,Blue,2020,67580.62,94960.0,3.5,22.6,Bob
2022-06-25,Chevrolet,Van,Gray,2018,27958.63,32908.0,4.0,27.6,Charlie
2022-06-26,Honda,Sedan,Black,2016,51118.32,9487.0,1.6,31.7,Bob
2022-06-27,Hyundai,Hatchback,Blue,2020,66744.05,99685.0,3.5,34.7,Charlie
2022-06-28,Ford,Van,Silver,2018,35638.01,26784.0,1.6,20.1,Bob
2022-06-29,Audi,Hatchback,Gray,2015,29775.0,85126.0,2.5,25.2,Eva
2022-06-30,BMW,Truck,Black,2017,40209.15,16554.0,1.6,30.8,Eva
2022-07-01,Nissan,Sedan,Silver,2016,53281.95,73135.0,1.6,30.7,David
2022-07-02,Toyota,Hatchback,Blue,2021,54516.78,52445.0,1.6,32.8,Bob
2022-07-03,Chevrolet,Truck,White,2016,27852.58,98091.0,2.0,26.1,Bob
2022-07-04,Ford,Sedan,Silver,2022,47454.13,55283.0,2.0,30.8,David
2022-07-05,Toyota,SUV,Red,2019,36096.93,2502.0,4.0,23.8,David
2022-07-06,Nissan,Truck,White,2017,70521.45,60388.0,4.0,23.7,Eva
2022-07-07,BMW,Coupe,White,2016,38814.51,14532.0,2.5,31.5,Eva
2022-07-08,Honda,Sedan,Blue,2022,70322.27,79854.0,1.6,33.7,Bob
2022-07-09,Ford,Hatchback,Blue,2018,45713.88,85657.0,2.5,22.4,Eva
2022-07-10,BMW,Van,Black,2016,63595.15,48209.0,2.0,22.5,Eva
2022-07-11,Chevrolet,Hatchback,Black,2016,50603.61,78322.0,1.6,31.3,Bob
2022-07-12,Hyundai,Coupe,Red,2016,57317.76,14511.0,3.5,25.4,David
2022-07-13,Nissan,Coupe,White,2019,43721.39,49208.0,2.0,27.8,Bob
2022-07-14,Chevrolet,Hatchback,Green,2016,66092.41,39394.0,2.0,28.0,Alice
2022-07-15,Honda,Van,Red,2016,45511.36,61132.0,2.0,23.6,Bob
2022-07-16,BMW,Sedan,Red,2019,47447.7,4448.0,1.6,20.0,Alice
2022-07-17,Kia,Truck,Green,2022,51060.72,75212.0,4.0,37.1,Bob
2022-07-18,Honda,Coupe,Green,2020,69909.45,7913.0,3.0,34.3,Alice
2022-07-19,Mercedes,Coupe,Green,2017,59562.74,65647.0,3.5,33.8,Alice
2022-07-20,Ford,Coupe,Blue,2022,40949.62,1846.0,3.5,30.9,Bob
2022-07-21,Hyundai,Van,Red,2021,60219.18,83189.0,2.5,34.0,Eva
2022-07-22,Nissan,SUV,Red,2020,58545.59,17470.0,1.6,38.7,Charlie
2022-07-23,Audi,Van,Silver,2015,75861.16,51550.0,4.0,33.3,Eva
2022-07-24,BMW,Sedan,Green,2019,70484.99,26149.0,2.0,25.3,Alice
2022-07-25,Kia,Sedan,Green,2019,58846.82,72265.0,3.0,31.4,Bob
2022-07-26,Audi,Sedan,Black,2016,40490.43,32135.0,1.6,28.8,Bob
2022-07-27,Ford,Sedan,Black,2016,66774.59,72461.0,1.6,31.1,Bob
2022-07-28,Ford,Sedan,White,2021,54512.5,28487.0,4.0,30.4,Bob
2022-07-29,Nissan,Hatchback,Black,2015,79116.2,75247.0,3.0,37.2,Charlie
2022-07-30,Kia,Coupe,Gray,2016,34850.37,3061.0,2.0,33.0,David
2022-07-31,Ford,Van,White,2018,24779.35,28331.0,1.6,23.8,Alice
2022-08-01,Audi,Hatchback,Green,2016,24193.51,49863.0,3.5,21.3,Charlie
2022-08-02,Kia,Van,Silver,2016,58401.82,4506.0,3.5,28.5,Eva
2022-08-03,Audi,SUV,Black,2018,76355.61,18603.0,3.0,20.3,David
2022-08-04,Honda,Truck,Silver,2015,20115.91,93454.0,2.0,26.4,David
2022-08-05,Chevrolet,Coupe,Black,2018,63546.26,97683.0,3.0,27.4,Bob
2022-08-06,Kia,SUV,Black,2019,59423.91,73975.0,1.6,27.5,Charlie
2022-08-07,Toyota,Hatchback,Silver,2018,63938.25,25220.0,3.5,39.6,Eva
2022-08-08,Chevrolet,Truck,Red,2017,41324.32,26052.0,2.5,26.1,Bob
2022-08-09,Chevrolet,SUV,Red,2019,69229.79,64579.0,3.0,25.3,Bob
2022-08-10,Kia,Van,Red,2016,22682.42,11760.0,2.5,22.6,Alice
2022-08-11,Hyundai,Truck,Gray,2021,65325.87,94831.0,2.5,30.2,David
2022-08-12,Ford,Van,Red,2019,36024.32,22481.0,4.0,23.1,Eva
2022-08-13,Honda,SUV,Black,2015,48610.27,99964.0,3.5,32.3,David
2022-08-14,Hyundai,Hatchback,Green,2015,69358.18,49573.0,3.0,23.1,Charlie
2022-08-15,Hyundai,Van,Blue,2018,36281.54,77143.0,2.5,31.5,Alice
2022-08-16,Toyota,Truck,Silver,2019,31112.45,218.0,1.6,36.5,Bob
2022-08-17,BMW,SUV,Green,2016,60878.79,88875.0,4.0,20.9,Alice
2022-08-18,Kia,Van,Blue,2015,52003.69,27000.0,2.0,28.4,Bob
2022-08-19,Audi,Hatchback,Green,2020,50864.23,66794.0,4.0,29.2,Alice
2022-08-20,Ford,Coupe,Gray,2016,35406.17,80636.0,2.0,35.8,Bob
2022-08-21,Hyundai,Hatchback,Blue,2020,22092.82,16415.0,3.5,29.4,David
2022-08-22,Honda,Hatchback,White,2017,44616.15,44251.0,3.0,31.4,David
2022-08-23,BMW,Coupe,Red,2020,26393.57,49384.0,3.0,35.8,David
2022-08-24,Toyota,Hatchback,Gray,2022,74359.35,31212.0,2.0,31.2,David
2022-08-25,Mercedes,Coupe,Green,2015,22475.02,48176.0,1.6,27.2,Alice
2022-08-26,Ford,Coupe,Black,2018,45899.05,31755.0,2.0,21.7,Bob
2022-08-27,Mercedes,Van,Red,2017,23134.74,36075.0,2.0,34.6,David
2022-08-28,Chevrolet,Van,Red,2019,25732.63,66933.0,3.0,37.4,Alice
2022-08-29,Hyundai,Coupe,Blue,2016,59532.0,63259.0,2.5,39.4,Bob
2022-08-30,Nissan,SUV,White,2015,58826.68,23227.0,1.6,38.5,Alice
2022-08-31,Ford,Truck,Red,2017,21983.13,89748.0,3.0,35.9,David
2022-09-01,Audi,SUV,Green,2017,20067.89,86279.0,4.0,32.9,Charlie
2022-09-02,BMW,Coupe,Green,2022,24729.08,50908.0,2.0,35.6,Alice
2022-09-03,Honda,Truck,Silver,2015,65779.93,43325.0,2.5,28.6,David
2022-09-04,Ford,Van,Silver,2019,55074.59,37686.0,1.6,31.9,Eva
2022-09-05,Audi,Truck,Red,2019,22287.09,70727.0,3.5,27.0,Bob
2022-09-06,Kia,Coupe,Blue,2018,49285.82,67167.0,1.6,26.5,David
2022-09-07,Mercedes,Van,Blue,2021,62721.76,19618.0,1.6,35.1,Eva
2022-09-08,Kia,Truck,Black,2020,72137.08,67146.0,2.0,29.1,Alice
2022-09-09,BMW,Truck,Gray,2019,76042.19,25243.0,2.0,24.2,Alice
2022-09-10,Toyota,SUV,Gray,2022,39646.43,1856.0,3.5,24.0,Eva
2022-09-11,Hyundai,Truck,Gray,2018,28149.95,69921.0,3.5,37.2,Eva
2022-09-12,Ford,Coupe,White,2020,34215.56,64479.0,3.5,33.6,Bob
2022-09-13,Nissan,Sedan,Blue,2017,66570.29,41081.0,3.0,30.9,Alice
2022-09-14,Mercedes,Sedan,Black,2015,78289.05,52569.0,3.0,28.0,Eva
2022-09-15,Mercedes,Sedan,Silver,2019,47983.62,94717.0,2.0,28.6,Charlie
2022-09-16,Ford,Coupe,Green,2018,38321.19,59520.0,2.0,21.1,Charlie
2022-09-17,Chevrolet,Sedan,Gray,2017,45751.43,65788.0,3.5,29.1,Eva
2022-09-18,Kia,SUV,Silver,2019,38288.79,6391.0,3.0,35.9,Bob
2022-09-19,Mercedes,Coupe,Silver,2016,35389.25,16599.0,2.5,27.8,Alice
2022-09-20,Audi,Van,Red,2021,55625.05,30095.0,3.0,27.7,Charlie
2022-09-21,Honda,Coupe,White,2017,20944.16,53938.0,2.0,20.3,Eva
2022-09-22,Hyundai,Coupe,Black,2022,35573.13,77659.0,3.0,29.2,Eva
2022-09-23,Mercedes,Truck,White,2022,59682.92,32124.0,2.0,20.5,David
2022-09-24,Audi,Truck,Red,2019,21923.76,35638.0,3.5,31.4,Eva
2022-09-25,BMW,Truck,Black,2022,24992.11,25615.0,3.5,30.1,Bob
2022-09-26,BMW,Hatchback,Black,2017,37603.77,25461.0,3.5,36.8,Charlie
2022-09-27,Hyundai,SUV,Blue,2015,72668.29,94886.0,2.5,31.6,David
2022-09-28,Chevrolet,Coupe,White,2015,65893.17,63546.0,2.5,26.5,Charlie
2022-09-29,Nissan,Coupe,White,2021,21329.4,15590.0,2.0,30.3,Charlie
2022-09-30,Hyundai,Truck,Blue,2015,50102.77,72225.0,1.6,34.0,Bob
2022-10-01,Toyota,Coupe,Silver,2020,36481.25,72202.0,4.0,21.9,Eva
2022-10-02,Chevrolet,Van,Red,2016,58918.74,66647.0,2.5,32.4,Bob
2022-10-03,Mercedes,Coupe,White,2015,63293.23,13472.0,2.0,38.3,Eva
2022-10-04,Hyundai,Sedan,Blue,2022,71771.75,40799.0,3.0,26.0,David
2022-10-05,Kia,Van,Green,2016,48524.97,10676.0,3.5,32.5,Bob
2022-10-06,BMW,Van,Black,2015,79667.01,81662.0,3.5,36.4,Bob
2022-10-07,Audi,Coupe,Gray,2020,78799.17,65517.0,3.5,30.2,Alice
2022-10-08,Hyundai,Hatchback,Green,2022,72930.0,50720.0,2.0,34.4,Bob
2022-10-09,Kia,Truck,Blue,2017,54492.17,34302.0,3.5,26.2,Alice
2022-10-10,Chevrolet,SUV,Gray,2019,43880.39,18425.0,2.5,26.1,Eva
2022-10-11,Toyota,SUV,Silver,2019,41863.18,10645.0,3.0,33.4,Eva
2022-10-12,Audi,Sedan,Red,2015,20727.49,96924.0,3.5,34.1,Eva
2022-10-13,Honda,SUV,Gray,2019,34950.47,19965.0,2.0,38.7,Alice
2022-10-14,Toyota,SUV,Silver,2015,63128.49,5987.0,3.0,24.5,Eva
2022-10-15,Mercedes,Truck,Gray,2015,56217.93,96167.0,3.5,29.4,Charlie
2022-10-16,Kia,Truck,Black,2022,74985.33,54895.0,1.6,25.0,Bob
2022-10-17,Hyundai,Hatchback,Black,2021,23001.34,79666.0,3.5,21.6,Alice
2022-10-18,Hyundai,Sedan,Black,2018,29316.6,4377.0,4.0,28.1,Eva
2022-10-19,Ford,SUV,Black,2018,67354.63,56695.0,2.5,27.5,Charlie
2022-10-20,BMW,Hatchback,Blue,2021,41510.46,39821.0,3.0,25.4,Bob
2022-10-21,Mercedes,Sedan,Black,2018,27100.72,77196.0,2.5,25.9,Bob
2022-10-22,Kia,Van,Green,2016,79787.03,3843.0,1.6,27.2,Eva
2022-10-23,Hyundai,SUV,Black,2018,67235.02,40169.0,1.6,39.8,Charlie
2022-10-24,Honda,SUV,Green,2015,44524.46,79907.0,4.0,35.7,Alice
2022-10-25,Audi,Truck,Blue,2020,69400.85,52270.0,2.5,21.4,Eva
2022-10-26,Mercedes,Coupe,Black,2020,60836.23,55004.0,3.0,37.4,Bob
2022-10-27,Chevrolet,Sedan,Silver,2017,67398.49,9716.0,1.6,32.7,Bob
2022-10-28,Honda,SUV,Silver,2022,68912.38,13233.0,1.6,37.8,Bob
2022-10-29,Audi,Sedan,White,2018,25083.72,67700.0,3.5,26.8,Eva
2022-10-30,Nissan,Hatchback,Silver,2020,57378.37,67505.0,4.0,29.3,David
2022-10-31,BMW,Hatchback,Red,2018,20407.13,97910.0,2.0,37.9,David
2022-11-01,Mercedes,Coupe,Red,2022,22607.37,71195.0,1.6,25.5,David
2022-11-02,Kia,SUV,Red,2017,74238.8,49324.0,3.0,38.3,Charlie
2022-11-03,Toyota,Truck,Blue,2020,51653.82,85733.0,3.0,36.6,Eva
2022-11-04,Audi,SUV,Silver,2015,64154.12,10447.0,3.5,39.6,Bob
2022-11-05,Chevrolet,Sedan,Green,2016,70310.06,44930.0,3.0,26.5,Charlie
2022-11-06,Hyundai,Van,Red,2021,76975.21,28711.0,3.5,24.7,David
2022-11-07,Toyota,Hatchback,White,2021,72161.17,10464.0,1.6,26.6,Alice
